130;T-Motor MN501s kv240;170;6;22x6.6;0.5455;2.4377;4.187
131;T-Motor MN1806 kv1400;20;3;6x2;12.159;12.776;0.22
132;T-Motor MN1806 kv1400;20;3;7x2.4;20.304;10.68;0.338
133;T-Motor MN1806 kv1400;20;3;8x2.7;24.712;9.5277;0.384
134;T-Motor MN1806 kv1400;20;4;5x3;14.203;8.4792;0.334
135;T-Motor MN1806 kv1400;20;4;6x2;12.371;7.0022;0.445
136;T-Motor MN1806 kv2300;20;2;6x2;30.138;12.663;0.29
137;T-Motor MN1806 kv2300;20;2;7x2.4;32.383;11.54;0.38
138;T-Motor MN1806 kv2300;20;3;5x3;29.372;12.507;0.395
139;T-Motor MN1806 kv2300;20;3;6x2;20.307;9.691;0.535
140;MN2212 kv780 v2.0;65;3;9.5x4.5;8.6743;7.7592;0.617
141;MN2212 kv920 v2.0;65;4;9.5x4.5;6.3897;5.3265;0.918
